Removed: [bo-rCN] dimens.xml: dimen/miuix_appcompat_button_inline_content_safe_padding_vertical (wrong value unit)
Removed: [bo-rCN] strings.xml: string/birthday_notification_text_today (wrong format)
Removed: [bo-rCN] strings.xml: string/monthly_on_day (wrong format)
Removed: [ca] arrays.xml: array/aquarius_info (wrong item count)
Removed: [ca] arrays.xml: array/aries_info (wrong item count)
Removed: [ca] arrays.xml: array/cancer_info (wrong item count)
Removed: [ca] arrays.xml: array/capricorn_info (wrong item count)
Removed: [ca] arrays.xml: array/gemini_info (wrong item count)
Removed: [ca] arrays.xml: array/leo_info (wrong item count)
Removed: [ca] arrays.xml: array/libra_info (wrong item count)
Removed: [ca] arrays.xml: array/pisces_info (wrong item count)
Removed: [ca] arrays.xml: array/sagittarius_info (wrong item count)
Removed: [ca] arrays.xml: array/scorpio_info (wrong item count)
Removed: [ca] arrays.xml: array/taurus_info (wrong item count)
Removed: [ca] arrays.xml: array/virgo_info (wrong item count)
Removed: [ca] plurals.xml: plurals/anniversary_notify_before_3_day_title (wrong item format)
Removed: [cs] arrays.xml: array/aquarius_info (wrong item count)
Removed: [cs] arrays.xml: array/aries_info (wrong item count)
Removed: [cs] arrays.xml: array/cancer_info (wrong item count)
Removed: [cs] arrays.xml: array/capricorn_info (wrong item count)
Removed: [cs] arrays.xml: array/gemini_info (wrong item count)
Removed: [cs] arrays.xml: array/leo_info (wrong item count)
Removed: [cs] arrays.xml: array/libra_info (wrong item count)
Removed: [cs] arrays.xml: array/pisces_info (wrong item count)
Removed: [cs] arrays.xml: array/sagittarius_info (wrong item count)
Removed: [cs] arrays.xml: array/scorpio_info (wrong item count)
Removed: [cs] arrays.xml: array/taurus_info (wrong item count)
Removed: [cs] arrays.xml: array/virgo_info (wrong item count)
Removed: [cs] plurals.xml: plurals/anniversary_notify_before_3_day_title (wrong item format)
Removed: [de] plurals.xml: plurals/anniversary_notify_before_3_day_title (wrong item format)
Removed: [es] arrays.xml: array/aquarius_info (wrong item count)
Removed: [es] arrays.xml: array/aries_info (wrong item count)
Removed: [es] arrays.xml: array/cancer_info (wrong item count)
Removed: [es] arrays.xml: array/capricorn_info (wrong item count)
Removed: [es] arrays.xml: array/gemini_info (wrong item count)
Removed: [es] arrays.xml: array/leo_info (wrong item count)
Removed: [es] arrays.xml: array/libra_info (wrong item count)
Removed: [es] arrays.xml: array/pisces_info (wrong item count)
Removed: [es] arrays.xml: array/sagittarius_info (wrong item count)
Removed: [es] arrays.xml: array/scorpio_info (wrong item count)
Removed: [es] arrays.xml: array/taurus_info (wrong item count)
Removed: [es] arrays.xml: array/virgo_info (wrong item count)
Removed: [es] plurals.xml: plurals/anniversary_notify_before_3_day_title (wrong item format)
Removed: [es-rUS] arrays.xml: array/aquarius_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/aries_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/cancer_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/capricorn_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/gemini_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/leo_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/libra_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/pisces_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/sagittarius_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/scorpio_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/taurus_info (wrong item count)
Removed: [es-rUS] arrays.xml: array/virgo_info (wrong item count)
Removed: [es-rUS] plurals.xml: plurals/anniversary_notify_before_3_day_title (wrong item format)
Removed: [fr] plurals.xml: plurals/anniversary_notify_before_3_day_title (wrong item format)
Removed: [it] arrays.xml: array/aquarius_info (wrong item count)
Removed: [it] arrays.xml: array/aries_info (wrong item count)
Removed: [it] arrays.xml: array/cancer_info (wrong item count)
Removed: [it] arrays.xml: array/capricorn_info (wrong item count)
Removed: [it] arrays.xml: array/gemini_info (wrong item count)
Removed: [it] arrays.xml: array/leo_info (wrong item count)
Removed: [it] arrays.xml: array/libra_info (wrong item count)
Removed: [it] arrays.xml: array/pisces_info (wrong item count)
Removed: [it] arrays.xml: array/sagittarius_info (wrong item count)
Removed: [it] arrays.xml: array/scorpio_info (wrong item count)
Removed: [it] arrays.xml: array/taurus_info (wrong item count)
Removed: [it] arrays.xml: array/virgo_info (wrong item count)
Removed: [it] plurals.xml: plurals/anniversary_notify_before_3_day_title (wrong item format)
Removed: [pt-rPT] arrays.xml: array/aquarius_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/aries_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/cancer_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/capricorn_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/gemini_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/leo_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/libra_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/pisces_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/sagittarius_info (wrong item count)
Removed: [pt-rPT] arrays.xml: array/scorpio_info (wrong item count)
